Trimestre;Prix_moyen_NY
T1 1987;75.98640082594899
T1 1988;84.42987788193867
T1 1989;84.31435604541967
T1 1990;80.94185959312466
T1 1991;74.14403894604766
T1 1992;74.84274487907601
T1 1993;75.872023612376
T1 1994;76.999309943306
T1 1995;78.63985276956633
T1 1996;79.22340995878433
T1 1997;80.540211434897
T1 1998;84.36183223353
T1 1999;90.55131629833132
T1 2000;101.213506022643
T1 2001;114.16747837276966
T1 2002;126.26608763038566
T1 2003;147.93080339116798
T1 2004;165.52430686513534
T1 2005;190.05092178072036
T1 2006;214.7592642932707
T1 2007;213.4896376251007
T1 2008;199.69030219538664
T1 2009;179.03202140417068
T1 2010;172.35421476259833
T1 2011;166.43518811254467
T1 2012;161.25564051163533
T1 2013;163.278431097577
T1 2014;173.51765676127567
T1 2015;176.55717305316534
T1 2016;180.83179696643035
T1 2017;187.72425074037935
T1 2018;197.54453981675866
T1 2019;201.52884786112534
T1 2020;204.546846998173
T1 2021;230.37324050432565
T1 2022;261.8290363779536
T1 2023;275.034607636144
T1 2024;300.385081741017
T1 2025;320.75702736351
T2 1987;79.59888635325467
T2 1988;84.68383921504567
T2 1989;83.440568168876
T2 1990;79.566620552635
T2 1991;73.19999558192433
T2 1992;75.12530068791266
T2 1993;76.18063867588567
T2 1994;77.873264586436
T2 1995;78.43749354019866
T2 1996;79.58356707530633
T2 1997;81.00739669747033
T2 1998;85.96204089759567
T2 1999;93.10345998755501
T2 2000;104.70435718769566
T2 2001;117.13941439100533
T2 2002;130.55781985374767
T2 2003;151.35961836797068
T2 2004;171.21129958097467
T2 2005;196.70002046111634
T2 2006;216.42096707183566
T2 2007;211.73679440580904
T2 2008;195.95089905567627
T2 2009;172.83572246278
T2 2010;172.270988855072
T2 2011;166.75044625321632
T2 2012;161.75858580267098
T2 2013;165.97199191107902
T2 2014;173.6565574674
T2 2015;178.172049096622
T2 2016;182.331076713131
T2 2017;189.730323831876
T2 2018;197.65301362604433
T2 2019;200.594586615154
T2 2020;204.183040935058
T2 2021;237.32129476449268
T2 2022;272.33106376806666
T2 2023;281.38580400151864
T2 2024;308.315799121564
T3 1987;82.099700298716
T3 1988;84.55776838176367
T3 1989;81.88153693198333
T3 1990;77.50715075714567
T3 1991;74.18027011529367
T3 1992;75.05199340507266
T3 1993;76.30866627707034
T3 1994;78.33267728505767
T3 1995;78.465297364709
T3 1996;79.58444954579066
T3 1997;81.92711650237767
T3 1998;87.68521643803801
T3 1999;95.918359028734
T3 2000;107.95685035980365
T3 2001;120.597526345971
T3 2002;136.89480511602198
T3 2003;154.71319066403933
T3 2004;177.3513466704503
T3 2005;201.79512576217667
T3 2006;213.724000370347
T3 2007;206.00412222482169
T3 2008;191.09679985021566
T3 2009;172.34488238937266
T3 2010;172.09883138409168
T3 2011;166.89638532371066
T3 2012;162.96647777087767
T3 2013;169.06806261723332
T3 2014;174.80046162355234
T3 2015;179.100588348841
T3 2016;183.57480345094405
T3 2017;192.096785211765
T3 2018;198.7056171092257
T3 2019;200.83820839295402
T3 2020;208.096444736304
T3 2021;244.37274242678566
T3 2022;275.1887131403593
T3 2023;289.7529172482627
T3 2024;313.8450245704184
T4 1987;83.77836174510367
T4 1988;84.448385268641
T4 1989;81.56078448132367
T4 1990;75.936801386014
T4 1991;74.649527912386
T4 1992;75.21575289447134
T4 1993;76.68139567696733
T4 1994;78.43885476153567
T4 1995;78.75698443832432
T4 1996;80.00183259379033
T4 1997;82.81216493425934
T4 1998;89.18573303893133
T4 1999;98.44788661749901
T4 2000;110.75407716198566
T4 2001;124.024896920187
T4 2002;142.852948062545
T4 2003;159.96247363964537
T4 2004;182.88423364267803
T4 2005;209.35091229563167
T4 2006;213.14621584451433
T4 2007;202.99059216347464
T4 2008;185.54298842532765
T4 2009;172.04007617720632
T4 2010;168.79215505954699
T4 2011;164.14724283879198
T4 2012;162.7726242267057
T4 2013;172.23975585052298
T4 2014;175.00209020651732
T4 2015;180.14442661821636
T4 2016;184.839382987607
T4 2017;195.158183199685
T4 2018;200.70230251819433
T4 2019;202.61191245785832
T4 2020;220.36551503577564
T4 2021;251.61275793612967
T4 2022;273.9698860965996
T4 2023;295.85715406515436
T4 2024;318.175192571635
