Trimestre;Prix_moyen
T4 2024;10190.47619047619
T3 2024;10326.190476190477
T2 2024;10373.333333333334
T1 2024;10424.761904761905
T4 2023;10635.238095238095
T3 2023;10877.142857142857
T2 2023;10923.333333333334
T1 2023;11139.047619047618
T4 2022;11271.42857142857
T3 2022;11345.238095238095
T2 2022;11319.047619047618
T1 2022;11182.380952380952
T4 2021;11201.42857142857
T3 2021;11426.666666666666
T2 2021;11389.047619047618
T1 2021;11279.047619047618
T4 2020;11450.952380952382
T3 2020;11474.285714285714
T2 2020;11339.52380952381
T1 2020;11089.52380952381
T4 2019;10972.380952380952
T3 2019;10791.904761904761
T2 2019;10628.095238095239
T1 2019;10398.57142857143
T4 2018;10289.047619047618
T3 2018;10331.42857142857
T2 2018;10090.0
T1 2018;9862.380952380952
T4 2017;9779.52380952381
T3 2017;9710.952380952382
T2 2017;9466.190476190477
T1 2017;9265.238095238095
T4 2016;9051.904761904761
T3 2016;9043.333333333334
T2 2016;8885.714285714286
T1 2016;8790.0
T4 2015;8769.52380952381
T3 2015;8840.47619047619
T2 2015;8720.47619047619
T1 2015;8637.142857142857
T4 2014;8764.761904761905
T3 2014;8862.857142857143
T2 2014;8934.761904761905
T1 2014;8902.380952380952
T4 2013;8939.52380952381
T3 2013;9000.0
T2 2013;8980.952380952382
T1 2013;9080.952380952382
T4 2012;9098.095238095239
T3 2012;9180.47619047619
T2 2012;9155.714285714286
T1 2012;9026.666666666666
T4 2011;9080.47619047619
T3 2011;9135.238095238095
T2 2011;8881.42857142857
T1 2011;8467.619047619048
T4 2010;7960.0
T3 2010;7673.333333333333
T2 2010;7250.476190476191
T1 2010;7046.666666666667
T4 2009;6801.9047619047615
T3 2009;6784.285714285715
T2 2009;6622.857142857143
T1 2009;6940.952380952381
T4 2008;7078.0952380952385
T3 2008;7281.9047619047615
T2 2008;7138.0952380952385
T1 2008;7019.523809523809
T4 2007;6936.666666666667
T3 2007;6768.571428571428
T2 2007;6490.476190476191
T1 2007;6410.476190476191
T4 2006;6222.380952380952
T3 2006;6195.714285714285
T2 2006;5949.523809523809
T1 2006;5838.571428571428
T4 2005;5672.380952380952
T3 2005;5581.9047619047615
T2 2005;5329.047619047619
T1 2005;5173.333333333333
T4 2004;5050.0
T3 2004;4885.238095238095
T2 2004;4726.190476190476
T1 2004;4567.619047619048
T4 2003;4415.238095238095
T3 2003;4293.809523809524
T2 2003;4151.9047619047615
T1 2003;4058.5714285714284
T4 2002;3947.1428571428573
T3 2002;3849.5238095238096
T2 2002;3674.285714285714
T1 2002;3566.6666666666665
T4 2001;3539.5238095238096
T3 2001;3542.3809523809523
T2 2001;3401.904761904762
T1 2001;3379.5238095238096
T4 2000;3253.809523809524
T3 2000;3251.904761904762
T2 2000;3161.4285714285716
T1 2000;3031.4285714285716
T4 1999;2905.2380952380954
T3 1999;2834.285714285714
T2 1999;2715.2380952380954
T1 1999;2663.3333333333335
T4 1998;2583.809523809524
T3 1998;2537.1428571428573
T2 1998;2494.7619047619046
T1 1998;2470.0
T4 1997;2486.190476190476
T3 1997;2484.285714285714
T2 1997;2494.285714285714
T1 1997;2459.0476190476193
T4 1996;2513.3333333333335
T3 1996;2573.3333333333335
T2 1996;2544.7619047619046
T1 1996;2606.190476190476
